Freq, Coherency
49.91455078125,-0.030867753231291328
49.90234375,-0.032187240362963825
49.89013671875,-0.03350185338063571
49.8779296875,-0.03481194730986699
49.86572265625,-0.03611783956232836
49.853515625,-0.03741829086388879
49.841312408447266,-0.03871376303129376
49.8291015625,-0.04000422806331314
49.81689453125,-0.0412888226121413
49.8046875,-0.04256775327819262
49.792484283447266,-0.0438409320423071
49.780277252197266,-0.045108478742709096
49.76806640625,-0.04636969204482208
49.755859375,-0.047624095356002746
49.74365234375,-0.04887241551699845
49.7314453125,-0.050113467243922696
49.71923828125,-0.05134755745291843
49.70703125,-0.05257452521131396
49.69482421875,-0.05379417189385897
49.6826171875,-0.0550068191948374
49.67041015625,-0.05621131541930874
49.658203125,-0.05740795883925476
49.64599609375,-0.05859706451580789
49.6337890625,-0.059777971024822706
49.62158203125,-0.060949566663362466
49.609375,-0.0621135637060946
49.59716796875,-0.06326837918458232
49.5849609375,-0.06441478090925887
49.57275390625,-0.06555213022675835
49.560546875,-0.06667935754467404
49.54833984375,-0.0677981100048085
49.5361328125,-0.06890687385370144
49.52392578125,-0.07000635995668936
49.51171875,-0.07109554935322984
49.49951171875,-0.07217470414312396
49.4873046875,-0.07324410595764337
49.47509765625,-0.07430273821595551
49.462890625,-0.07535086436780422
49.450687408447266,-0.07638843473076065
49.4384765625,-0.0774158365762757
49.42626953125,-0.07843113881719092
49.4140625,-0.07943614695736824
49.40185546875,-0.08042989187996985
49.3896484375,-0.08141144224829794
49.37744140625,-0.0823822314941303
49.365234375,-0.08334093565696957
49.35302734375,-0.08428781661945646
49.3408203125,-0.0852230964588823
49.32861328125,-0.08614588557517072
49.31640625,-0.08705643633814104
49.30419921875,-0.08795496155827069
49.2919921875,-0.08884060638535045
49.27978515625,-0.08971395820860607
49.267578125,-0.09057452543963318
49.255367279052734,-0.09142176724365508
49.243167877197266,-0.0922562020703173
49.23095703125,-0.09307726534734945
49.218753814697266,-0.09388520015649453
49.206546783447266,-0.09467998456267582
49.1943359375,-0.0954608652784207
49.182132720947266,-0.09622825534902313
49.169925689697266,-0.09698213293187115
49.15771484375,-0.0977217835287034
49.145503997802734,-0.09844776186065629
49.13330078125,-0.0991594962734551
49.12109375,-0.09985698229346661
49.10888671875,-0.1005404568002758
49.0966796875,-0.10120926284197967
49.08447265625,-0.1018638427551913
49.072265625,-0.10250357212899013
49.06005859375,-0.10312861315491799
49.0478515625,-0.10373912143131382
49.03564453125,-0.10433451425559977
49.0234375,-0.10491494304150947
49.01123046875,-0.10548055115875261
48.9990234375,-0.1060307984034999
48.98681640625,-0.10656582520619774
48.974609375,-0.10708576251183402
48.96240234375,-0.10758991181614154
48.9501953125,-0.10807919844431622
48.93798828125,-0.10855256173750605
48.92578125,-0.10901032103394323
48.913578033447266,-0.10945245046391293
48.9013671875,-0.10987910026106697
48.889156341552734,-0.11028959980698427
48.876953125,-0.1106843038447834
48.86474609375,-0.11106319238877341
48.852542877197266,-0.11142582591987688
48.84033203125,-0.11177264013761411
48.828125,-0.11210324279446165
48.81591796875,-0.112417698081116
48.8037109375,-0.11271606924059213
48.79150390625,-0.11299806951301845
48.779296875,-0.11326388285044066
48.76708984375,-0.11351334893086823
48.7548828125,-0.11374624685435514
48.742679595947266,-0.11396284818579426
48.73046875,-0.11416304257626762
48.71826171875,-0.11434668965112997
48.7060546875,-0.11451388992807617
48.69384765625,-0.11466447942514771
48.681640625,-0.11479850436345014
48.66943359375,-0.11491598336962455
48.6572265625,-0.11501680109087922
48.64501953125,-0.1151010205758044
48.6328125,-0.11516858116272821
48.62060546875,-0.11521943469422256
48.6083984375,-0.11525365139730134
48.59619140625,-0.11527117453581469
48.583984375,-0.11527200342050535
48.57177734375,-0.1152561350698543
48.5595703125,-0.11522357680779438
48.54736328125,-0.11517432564833298
48.53515625,-0.11510835515166085
48.52294921875,-0.11502572386545773
48.5107421875,-0.11492637249601294
48.49853515625,-0.11481039084870352
48.486328125,-0.11467775642146069
48.47412109375,-0.11452841942295532
48.4619140625,-0.11436251705885551
48.44970703125,-0.11418001456110823
48.4375,-0.1139808487742725
48.42529296875,-0.11376520416133096
48.4130859375,-0.1135330337242959
48.40087890625,-0.11328426101581997
48.388671875,-0.11301911969992533
48.37646484375,-0.11273754415562044
48.3642578125,-0.11243945117831954
48.35205078125,-0.11212511945642403
48.33984375,-0.11179433528089386
48.32763671875,-0.11144726668080306
48.3154296875,-0.11108425820666344
48.30322265625,-0.11070477458562511
48.291015625,-0.11030931263066047
48.27880859375,-0.10989778106598336
48.2666015625,-0.10947005560407423
48.25439453125,-0.10902635788753015
48.2421875,-0.10856693779697763
48.22998046875,-0.10809167726170814
48.2177734375,-0.10760064853088967
48.205570220947266,-0.10709386702122925
48.193359375,-0.10657111577455937
48.18115234375,-0.10603338759962191
48.1689453125,-0.10547973089740897
48.15673828125,-0.10491064805544105
48.144527435302734,-0.10432650830326766
48.13232421875,-0.1037270081923797
48.1201171875,-0.10311213918323497
48.10791015625,-0.10248243004555524
48.095703125,-0.10183771662718855
48.083499908447266,-0.10117803636062546
48.0712890625,-0.10050338586286126
48.059085845947266,-0.09981415481764569
48.046875,-0.09911042002501258
48.03466796875,-0.09839180140217148
48.0224609375,-0.0976587414630953
48.01025390625,-0.09691194891979842
47.998046875,-0.0961503273839279
47.98583984375,-0.0953745782772072
47.9736328125,-0.09458513355851395
47.96142578125,-0.09378146330823212
47.94921875,-0.09296432581780527
47.93701171875,-0.09213352550525819
47.9248046875,-0.09128916607896781
47.91259765625,-0.09043102876658289
